      1      1   1106    6.2947      115 110  12 103   7 103      0.0000
   111   -0.069    0.442     -0.7975  0.135 -.66E+04 0.43E+05 -.77E+05 0.89E+05
    22   -0.026    0.478     -0.4158  0.000 -.52E+05 0.71E+05 -.71E+05 0.13E+06
   111   -0.241    0.196     -0.3805  0.135 -.42E+05 0.34E+05 -.67E+05 0.90E+05
   111    0.254   -0.044      0.3756  0.135 0.47E+05 -.81E+04 0.70E+05 0.89E+05
   111    0.076   -0.091      0.1130  0.135 0.32E+05 -.38E+05 0.48E+05 0.89E+05
   111    0.076    0.289     -0.2169  0.135 0.17E+05 0.65E+05 -.49E+05 0.89E+05
  -211    0.194    0.402      0.3111  0.140 0.31E+05 0.64E+05 0.50E+05 0.89E+05
   111    0.076   -0.126     -0.2313  0.135 0.22E+05 -.37E+05 -.67E+05 0.89E+05
   111    0.229   -0.466     -0.0379  0.135 0.37E+05 -.76E+05 -.61E+04 0.88E+05
    22    0.204    0.309      0.0131  0.000 0.20E+06 0.32E+05 0.25E+05 0.30E+06
   111   -0.010    0.090     -0.1045  0.135 -.47E+04 0.40E+05 -.47E+05 0.87E+05
   111   -0.026    0.105     -0.1709  0.135 0.65E+03 0.33E+05 -.47E+05 0.10E+06
   211    0.297    0.081      0.7780  0.140 0.31E+05 0.85E+04 0.81E+05 0.88E+05
   111   -0.061   -0.003     -0.1613  0.135 0.60E+03 0.33E+05 -.47E+05 0.10E+06
   111    0.108   -0.128      0.2492  0.135 0.29E+05 -.34E+05 0.67E+05 0.89E+05
   111    0.135   -0.177      1.3564  0.135 0.87E+04 -.11E+05 0.88E+05 0.89E+05
   111   -0.194    0.058     -0.7548  0.135 -.22E+05 0.65E+04 -.85E+05 0.89E+05
  -211    0.118   -0.139      0.1235  0.140 0.40E+05 -.47E+05 0.42E+05 0.89E+05
   111    0.333    0.038     -0.2897  0.135 0.64E+05 0.74E+04 -.56E+05 0.89E+05
   111   -0.026   -0.383     -0.5340  0.135 -.34E+04 -.50E+05 -.70E+05 0.88E+05
   111    1.103   -0.067     -0.2577  0.135 0.84E+05 -.51E+04 -.19E+05 0.87E+05
    22    0.476    0.021      0.0021  0.000 0.37E+06 0.20E+06 0.14E+06 0.66E+06
   111    0.108   -0.538      0.0019  0.135 0.17E+05 -.85E+05 0.40E+03 0.89E+05
  -211    0.378    0.109     -0.0928  0.140 0.79E+05 0.23E+05 -.19E+05 0.89E+05
  -211    0.172    0.118      0.5538  0.140 0.25E+05 0.17E+05 0.79E+05 0.87E+05
  -211    0.276   -0.156      0.4475  0.140 0.42E+05 -.24E+05 0.68E+05 0.87E+05
    22   -0.195    0.104     -0.3815  0.000 0.57E+05 -.77E+03 -.41E+06 0.48E+06
   211    0.476   -0.302     -0.3139  0.140 0.64E+05 -.41E+05 -.42E+05 0.89E+05
   111    0.166   -0.092      0.1722  0.135 0.51E+05 -.28E+05 0.53E+05 0.90E+05
   211   -0.131   -0.049      0.8285  0.140 -.14E+05 -.52E+04 0.87E+05 0.89E+05
   211    0.616   -0.413      0.5742  0.140 0.58E+05 -.39E+05 0.54E+05 0.90E+05
   111    0.102   -0.259      0.0713  0.135 0.29E+05 -.73E+05 0.20E+05 0.90E+05
   111    0.046   -0.061      0.1234  0.135 0.20E+05 -.27E+05 0.55E+05 0.88E+05
  -211   -0.061   -0.014     -0.1881  0.140 -.22E+05 -.50E+04 -.69E+05 0.90E+05
   111   -0.005   -0.001     -0.0232  0.135 -.28E+04 -.73E+03 -.14E+05 0.82E+05
  -211   -0.428   -0.066     -0.4780  0.140 -.57E+05 -.88E+04 -.64E+05 0.88E+05
   111   -0.686    0.167     -0.0136  0.135 -.85E+05 0.21E+05 -.18E+04 0.89E+05
   211   -0.231   -0.102     -0.2668  0.140 -.52E+05 -.23E+05 -.60E+05 0.88E+05
   111   -0.013    0.125     -0.1966  0.135 -.42E+04 0.41E+05 -.64E+05 0.88E+05
   111    0.190   -0.014      0.1248  0.135 0.64E+05 -.47E+04 0.42E+05 0.90E+05
    22   -0.096    0.074     -0.1565  0.000 0.87E+05 -.10E+06 -.32E+06 0.38E+06
   111    0.032    0.198      0.0284  0.135 0.11E+05 0.72E+05 0.10E+05 0.88E+05
   111   -0.054   -0.287     -0.3937  0.135 -.94E+04 -.50E+05 -.69E+05 0.89E+05
    22   -0.407    0.126      1.2297  0.000 -.10E+06 0.24E+05 0.69E+06 0.73E+06
   111   -0.088    0.035      0.1996  0.135 -.30E+05 0.12E+05 0.68E+05 0.89E+05
   111   -0.183    0.021     -0.2875  0.135 -.15E+06 0.77E+04 -.44E+06 0.48E+06
   111   -0.059    0.007     -0.0369  0.135 -.34E+05 0.37E+04 -.21E+05 0.87E+05
  -211    0.216    0.009     -0.1821  0.140 0.61E+05 0.27E+04 -.51E+05 0.89E+05
  -211    0.056   -0.179      0.2558  0.140 0.14E+05 -.46E+05 0.66E+05 0.89E+05
   211    0.117    0.126      0.0988  0.140 0.43E+05 0.46E+05 0.36E+05 0.89E+05
  -211   -0.087   -0.008      0.1451  0.140 -.35E+05 -.34E+04 0.59E+05 0.90E+05
   211   -0.309   -0.135     -0.0865  0.140 -.72E+05 -.32E+05 -.20E+05 0.88E+05
   211   -0.067   -0.249     -0.1679  0.140 -.18E+05 -.65E+05 -.44E+05 0.88E+05
   111    0.166   -0.216      0.0180  0.135 0.49E+05 -.63E+05 0.53E+04 0.90E+05
   111    0.223    0.022      0.1229  0.135 0.67E+05 0.69E+04 0.37E+05 0.87E+05
   111   -0.009    0.063      0.2653  0.135 -.27E+04 0.18E+05 0.77E+05 0.89E+05
  -211    0.071   -0.177     -0.1420  0.140 0.23E+05 -.57E+05 -.46E+05 0.89E+05
  -211    0.296    0.003     -0.1837  0.140 0.70E+05 0.75E+03 -.43E+05 0.88E+05
   111    0.255    0.225     -0.1558  0.135 0.57E+05 0.50E+05 -.35E+05 0.89E+05
   211    0.009   -0.156      0.0187  0.140 0.41E+04 -.65E+05 0.78E+04 0.88E+05
   111   -0.089   -0.102      0.5953  0.135 -.13E+05 -.14E+05 0.84E+05 0.88E+05
   111    0.019    0.080     -0.4822  0.135 0.34E+04 0.14E+05 -.85E+05 0.89E+05
   111   -0.700   -0.337      0.2975  0.135 -.74E+05 -.36E+05 0.32E+05 0.89E+05
   111   -0.352    0.025     -0.7913  0.135 -.15E+06 0.77E+04 -.44E+06 0.48E+06
   111    0.172    0.039      1.0274  0.135 0.14E+05 0.33E+04 0.87E+05 0.89E+05
  -211    0.092    0.071     -0.1265  0.140 0.37E+05 0.28E+05 -.50E+05 0.88E+05
   111    0.300    0.093      0.3097  0.135 0.58E+05 0.18E+05 0.60E+05 0.90E+05
   111    0.241   -0.160     -0.8563  0.135 0.24E+05 -.16E+05 -.84E+05 0.90E+05
   111    0.307    0.048      0.8333  0.135 0.30E+05 0.47E+04 0.82E+05 0.89E+05
   211    0.003    0.296     -0.1477  0.140 0.84E+03 0.74E+05 -.37E+05 0.89E+05
   111   -0.240   -0.205      0.9636  0.135 -.21E+05 -.18E+05 0.84E+05 0.89E+05
   211    0.523   -0.460     -0.1830  0.140 0.61E+05 -.54E+05 -.21E+05 0.86E+05
   111   -0.091   -0.478      0.3768  0.135 -.13E+05 -.68E+05 0.53E+05 0.89E+05
   111   -0.383    0.169     -0.5738  0.135 -.47E+05 0.21E+05 -.71E+05 0.90E+05
   211   -0.142    0.079      0.1611  0.140 -.47E+05 0.26E+05 0.54E+05 0.90E+05
   111   -0.276   -0.324     -0.2590  0.135 -.47E+05 -.56E+05 -.44E+05 0.89E+05
   111    0.116    0.202     -0.0177  0.135 0.38E+05 0.66E+05 -.60E+04 0.88E+05
    22   -0.401    0.279     -0.1113  0.000 -.38E+06 0.41E+06 -.39E+06 0.69E+06
   111   -0.271    0.148     -0.4015  0.135 -.46E+05 0.25E+05 -.68E+05 0.89E+05
  -211   -0.307   -0.085     -0.2785  0.140 -.62E+05 -.17E+05 -.56E+05 0.89E+05
   111   -0.222    0.160     -0.3903  0.135 -.62E+06 0.60E+06 -.92E+06 0.13E+07
   111   -1.009    0.204      0.4695  0.135 -.79E+05 0.16E+05 0.37E+05 0.89E+05
  -211   -0.036    0.275      0.0399  0.140 -.10E+05 0.78E+05 0.11E+05 0.89E+05
   211    0.151   -0.173      0.2481  0.140 0.37E+05 -.42E+05 0.61E+05 0.89E+05
   111   -0.347   -0.474     -0.9541  0.135 -.27E+05 -.37E+05 -.76E+05 0.89E+05
  -211    0.511    0.174      0.0404  0.140 0.82E+05 0.28E+05 0.64E+04 0.90E+05
   111   -0.143    0.304     -0.2796  0.135 -.62E+06 0.60E+06 -.92E+06 0.13E+07
   211    0.157    0.114      2.8087  0.140 0.20E+06 -.10E+06 0.57E+07 0.57E+07
   111   -0.002   -0.228      0.0380  0.135 -.50E+03 -.75E+05 0.13E+05 0.89E+05
   111    0.413    0.501      0.0013  0.135 0.55E+05 0.67E+05 0.28E+03 0.89E+05
   211   -0.437   -0.041     -1.1017  0.140 -.32E+05 -.30E+04 -.81E+05 0.88E+05
   111    0.186   -0.095      0.7727  0.135 0.20E+05 -.10E+05 0.84E+05 0.89E+05
   111   -0.030    0.141      0.1414  0.135 -.11E+05 0.50E+05 0.51E+05 0.87E+05
   111   -0.115    0.063      0.1675  0.135 -.41E+05 0.22E+05 0.59E+05 0.89E+05
   211    0.035   -0.192      0.5381  0.140 0.55E+04 -.29E+05 0.82E+05 0.90E+05
  -211    0.005   -0.180      1.5265  0.140 0.20E+06 -.10E+06 0.57E+07 0.57E+07
   211    0.057   -0.072     -0.3423  0.140 0.13E+05 -.17E+05 -.80E+05 0.89E+05
   111    0.423   -0.045      0.1805  0.135 0.78E+05 -.82E+04 0.33E+05 0.89E+05
   111    0.330    0.717     -0.8966  0.135 0.24E+05 0.53E+05 -.66E+05 0.89E+05
   211   -0.221    0.084      0.2608  0.140 -.52E+05 0.20E+05 0.61E+05 0.89E+05
    22   -0.172    0.218      0.1091  0.000 0.48E+04 0.16E+05 0.74E+05 0.11E+06
   211   -0.073   -0.061      0.1087  0.140 -.32E+05 -.27E+05 0.48E+05 0.89E+05
   111    0.373   -0.825     -0.0273  0.135 0.36E+05 -.80E+05 -.27E+04 0.89E+05
   211    0.465   -0.606      0.1730  0.140 0.52E+05 -.68E+05 0.19E+05 0.90E+05
   111    0.105    0.520     -0.3093  0.135 0.15E+05 0.74E+05 -.44E+05 0.89E+05
  -211    0.074    0.004      0.6613  0.140 0.97E+04 0.46E+03 0.87E+05 0.89E+05
    22   -0.217   -0.768      0.8417  0.000 -.32E+05 -.50E+05 0.83E+05 0.11E+06
   111   -0.106   -0.174      0.0581  0.135 -.37E+05 -.61E+05 0.20E+05 0.88E+05
   211   -0.079    0.029      0.0138  0.140 -.41E+05 0.15E+05 0.71E+04 0.85E+05
    22   -0.367    0.033     -2.3914  0.000 -.56E+06 0.61E+04 -.25E+07 0.26E+07
  -211    0.091    0.451     -0.0588  0.140 0.17E+05 0.83E+05 -.11E+05 0.90E+05
  -211   -0.067   -0.034     -0.0768  0.140 -.34E+05 -.17E+05 -.39E+05 0.89E+05
    22   -0.063    0.222      0.8980  0.000 -.10E+06 0.52E+05 0.43E+06 0.51E+06
   111    0.234   -0.046      0.0357  0.135 0.76E+05 -.15E+05 0.12E+05 0.90E+05
   211   -0.369    0.056      0.6143  0.140 -.45E+05 0.69E+04 0.75E+05 0.89E+05
   111   -0.260   -0.516     -0.1204  0.135 -.38E+05 -.76E+05 -.18E+05 0.89E+05
   111    0.039    0.506      0.2517  0.135 0.61E+04 0.78E+05 0.39E+05 0.89E+05
  -211    0.204   -0.069     -0.4079  0.140 0.12E+06 0.35E+05 -.16E+06 0.22E+06
   111   -0.074    0.096      0.1607  0.135 -.27E+05 0.35E+05 0.59E+05 0.89E+05
   111    0.168   -0.086      0.0899  0.135 0.60E+05 -.31E+05 0.33E+05 0.90E+05
   211    0.478    0.280     -0.4642  0.140 0.12E+06 0.35E+05 -.16E+06 0.22E+06
   211   -0.176    0.039      0.1923  0.140 -.52E+05 0.12E+05 0.57E+05 0.88E+05
   111   -0.116   -0.013      0.5287  0.135 -.18E+05 -.20E+04 0.84E+05 0.89E+05
   111    0.032    0.181      0.3985  0.135 0.61E+04 0.35E+05 0.77E+05 0.89E+05
  -211   -0.326    0.114      0.3414  0.140 -.37E+06 0.61E+05 0.32E+06 0.62E+06
  -211   -0.059   -0.191      0.5888  0.140 -.84E+04 -.27E+05 0.83E+05 0.89E+05
   111   -0.118    0.218      0.1342  0.135 -.34E+05 0.62E+05 0.38E+05 0.89E+05
   111    0.281   -0.153     -0.3600  0.135 0.50E+05 -.27E+05 -.64E+05 0.88E+05
  -211   -0.077    0.050      0.0223  0.140 -.41E+05 0.26E+05 0.12E+05 0.89E+05
   211    0.408   -0.067     -0.1116  0.140 0.81E+05 -.13E+05 -.22E+05 0.89E+05
   211   -0.075   -0.319      0.1407  0.140 -.18E+05 -.74E+05 0.33E+05 0.89E+05
  -211   -0.365    0.024     -0.0086  0.140 -.80E+05 0.53E+04 -.19E+04 0.86E+05
   111   -0.127   -0.046      0.1376  0.135 -.37E+06 0.61E+05 0.32E+06 0.62E+06
   111   -0.207    0.483     -0.4576  0.135 -.26E+05 0.61E+05 -.57E+05 0.89E+05
   111    0.669    0.605      0.1132  0.135 0.65E+05 0.59E+05 0.11E+05 0.89E+05
   111   -0.158    0.127      0.2739  0.135 -.38E+05 0.31E+05 0.66E+05 0.89E+05
   111   -0.529   -0.476     -0.4056  0.135 -.57E+05 -.51E+05 -.44E+05 0.90E+05
  -211   -0.262    0.181     -0.0955  0.140 -.65E+05 0.45E+05 -.24E+05 0.90E+05
   111   -0.131   -0.195      0.2309  0.135 -.33E+05 -.48E+05 0.57E+05 0.88E+05
   111    0.045   -0.166     -0.0496  0.135 0.17E+05 -.64E+05 -.19E+05 0.87E+05
  -211   -0.115   -0.132      0.0233  0.140 -.44E+05 -.51E+05 0.87E+04 0.87E+05
   111    0.217   -0.025     -0.0273  0.135 0.74E+05 -.83E+04 -.93E+04 0.88E+05
  -211   -0.080   -0.208     -0.3247  0.140 -.17E+05 -.44E+05 -.69E+05 0.89E+05
   111   -0.148    0.090     -0.4268  0.135 -.65E+06 0.54E+06 -.90E+06 0.14E+07
   111   -0.128    0.134     -0.0839  0.135 -.65E+06 0.54E+06 -.90E+06 0.14E+07
   211    0.125   -0.041      0.1931  0.140 0.40E+05 -.13E+05 0.63E+05 0.88E+05
   211   -0.413    0.090      0.2833  0.140 -.70E+05 0.15E+05 0.48E+05 0.89E+05
    22   -0.206   -0.035     -0.4721  0.000 0.66E+04 0.21E+05 -.12E+06 0.13E+06
  -211    0.413    0.050     -0.1370  0.140 0.80E+05 0.96E+04 -.27E+05 0.89E+05
   111    0.373    0.069      0.4372  0.135 0.56E+05 0.10E+05 0.66E+05 0.90E+05
   111   -0.318   -0.207     -0.9157  0.135 -.28E+05 -.18E+05 -.82E+05 0.89E+05
  -211    0.038    0.109     -0.3206  0.140 0.85E+04 0.25E+05 -.73E+05 0.84E+05
  -211    0.000   -0.202     -2.4046  0.140 -.18E+02 -.75E+04 -.89E+05 0.90E+05
   111   -0.495   -0.314     -0.8762  0.135 -.41E+05 -.26E+05 -.73E+05 0.89E+05
   111   -0.016   -0.040     -0.3686  0.135 -.33E+04 -.82E+04 -.77E+05 0.83E+05
  -211   -0.065   -0.077      0.5476  0.140 -.26E+06 -.14E+05 0.55E+06 0.68E+06
   111   -0.034    0.376     -0.1010  0.135 -.73E+04 0.81E+05 -.22E+05 0.89E+05
   211    0.333   -0.504      1.1124  0.140 0.23E+05 -.35E+05 0.78E+05 0.89E+05
  -211    0.173    0.255     -0.4737  0.140 0.27E+05 0.39E+05 -.73E+05 0.89E+05
   111    0.041   -0.192     -0.0426  0.135 0.15E+05 -.69E+05 -.15E+05 0.87E+05
  -211   -0.173   -0.057      0.0293  0.140 -.67E+05 -.22E+05 0.11E+05 0.89E+05
   211    0.415    0.004     -0.5544  0.140 0.52E+05 0.54E+03 -.70E+05 0.89E+05
   211   -0.417    0.029      0.3806  0.140 -.26E+06 -.14E+05 0.55E+06 0.68E+06
   111   -1.064   -0.243      3.6267  0.135 -.25E+05 -.57E+04 0.85E+05 0.88E+05
   111   -0.258   -0.007     -0.3377  0.135 -.51E+05 -.14E+04 -.67E+05 0.89E+05
   111   -0.087    0.068     -0.1110  0.135 -.37E+05 0.29E+05 -.47E+05 0.88E+05
