      1      1   2574    5.9809      127 118   1 126   3 115      0.0000
  2212    0.000    0.000     19.4774  0.940     5.98     0.55 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     6.61    -4.59 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     8.31     2.01 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     7.96     0.35 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -6.92    -1.46 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.67    -0.85 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -4.91     3.07 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.25    -2.61 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     7.42    -0.46 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     5.90    -3.51 22024.42 22050.00
  2212    0.000    0.000    -19.4774  0.940    -4.14     4.32 ******** 22050.00
  2112    0.000    0.000     19.4774  0.940     7.30     0.19 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     5.91     3.63 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     4.67     4.05 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     6.45     5.03 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -2.43    -5.65 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -7.72     2.05 ******** 22050.00
  2112    0.000    0.000    -19.4774  0.940    -5.81    -3.55 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     5.71     2.00 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     5.88     5.26 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940     6.37     4.22 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -4.20    -5.85 ******** 22050.00
  2212    0.000    0.000     19.4774  0.940     2.65    -5.18 22024.42 22050.00
  2112    0.000    0.000     19.4774  0.940    -1.13     3.67 22024.42 22050.00
  2212    0.000    0.000     19.4774  0.940     7.85     3.56 22024.42 22050.00
  2112    0.000    0.000    -19.4774  0.940    -3.70     1.55 ******** 22050.00
  2212    0.000    0.000    -19.4774  0.940    -6.22    -2.60 ******** 22050.00
